"reference_no","record_type","publication_type","reftitle","pubyr","author1init","author1last","author2init","author2last","otherauthors","editors","refabbr","pubtitle","pubabbr","r_journal","r_booktitle","r_school","publisher","pubcity","pubvol","pubno","firstpage","lastpage","language","doi","ref_type"
65724,"ref","journal article","Coralline red algae from late Palaeocene–earliest Eocene carbonates\r\nof Meghalaya, N–E India: palaeocommunity and trophic‑level\r\nimplications",2018,"S.","Sarkar","G. M. N.","Rao","","",NA,"Carbonates and Evaporites",NA,NA,NA,NA,NA,NA,"","","","","English","10.1007/s13146-018-0422-5","class"
48968,"ref","journal article","A Danian subtropical lacustrine palynobiota from South America (Bororó Formation, San Jorge Basin, Patagonia - Argentina)",2009,"L.","Scafati","D. L.","Melendi","W. Volkheimer","",NA,"Geological Acta",NA,NA,NA,NA,NA,NA,"7","01-Feb","35","61","English","10.1344/105.000000270","auth"
42042,"ref","journal article","Misellina and Brevaxina, new Permian fusulinid foraminifera",1940,"H. G.","Schenck","M. L.","Thompson","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"14","","584","589","English","","auth,class"
73778,"ref","journal article","Atlas der Diatomaceen-kunde",1874,"A.","Schmidt","","","","",NA,"R. Reisland, Leipzig",NA,NA,NA,NA,NA,NA,"","Pts 1-120","","Pls. 1-460","English","","auth"
73971,"ref","journal article","A synoptic review of the classification of red algal genera a half century after Kylin's ""Die Gattungen der Rhodophyceen""",2007,"C. W.","Schneider","M. J.","Wynne","","",NA,"Botanica Marina",NA,NA,NA,NA,NA,NA,"50","","197","249","English","10.1515/BOT.2007.025","class"
66908,"ref","journal article","The temnospondyl Parotosuchus nasutus (v. Meyer, 1858) from the Early Triassic Middle Buntsandstein of Germany",2018,"R. R.","Schoch","","","","",NA,"Palaeodiversity",NA,NA,NA,NA,NA,NA,"11","","107","126","English","10.18476/pale.11.a6","auth,class"
57663,"ref","journal article","Paleozoic and Mesozoic palynomorphs from Northeast Africa (Egypt and Sudan) with special reference to Late Cretaceous pollen and spores",1987,"E.","Schrank","","","","",NA,"Berliner geowis. Abh. (A)",NA,NA,NA,NA,NA,NA,"75","1","249","310","English","","auth"
76078,"ref","book","Flora Carniolica",1760,"G. A.","Scopoli","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","","","other","","auth"
54605,"ref","journal article","Macrofossil Casuarinaceae: their Identification and the Oldest Macrofossil Record, Gymnostoma antiquum sp. nov., from the Late Paleocene of New South Wales, Australia",1995,"L. J.","Scriven","R. S.","Hill","","",NA,"Australian Systematic Botany",NA,NA,NA,NA,NA,NA,"8","6","1035","1053","English","10.1071/SB9951035 ","auth,class"
45859,"ref","journal article","New Devonian psilophytes of Kazakhstan",1978,"M.","Senkevitsch","","","","",NA,"Ezhegodnik Vsesojuznogo Paleontologicheskogo Obshchestva",NA,NA,NA,NA,NA,NA,"21","","288","299","Russian","","auth"
6930,"ref","serial monograph","A compendium of fossil marine animal genera",2002,"J. J., Jr.","Sepkoski","","","","",NA,"Bulletins of American Paleontology",NA,NA,NA,NA,NA,NA,"363","","1","560","English","","auth,class"
75492,"ref","journal article","On the structure of the siliceous loricae of the genus Arachnoidiscus",1852,"G.","Shadbolt","","","","",NA,"Transactions of the Microscopical Society of London",NA,NA,NA,NA,NA,NA,"3","","49","54","English","","auth"
82743,"ref","journal article","Systematic palaeontology, in Fire-prone Rhamnaceae with South African affinities in Cretaceous Myanmar amber",2022,"C.","Shi","S.","Wang","M. S. Engel","",NA,"Nature Plants",NA,NA,NA,NA,NA,NA,"8","","125","135","English","https://doi.org/10.1038/s41477-021-01091-w","auth,class"
78383,"ref","journal article","A new Oligocene Calocedrus from South China and its implications for transpacific floristic exchanges",2012,"G.","Shi","Z.","Zhou","Z. Xie","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"99","1","108","120","English","10.3732/ajb.1100331","auth,class"
18185,"ref","journal article","The Shelton Mastodon Site: Multidisciplinary study of a late Pleistocene (Twocreekan) locality in Southeastern Michigan",1989,"J.","Shoshani","D. C.","Fisher","J. M. Zawiskie, S. J. Thurlow, S. L. Shoshani, W. S. Benninghoff, F. H. Zoch","",NA,"Contributions from the Museum of Paleontology, University of Michigan",NA,NA,NA,NA,NA,NA,"27","14","393","436","English","","auth"
81332,"ref","book","Flora Japonica",1842,"P.F.","Siebold","J.G.","Zuccarini","","",NA,"",NA,NA,NA,NA,NA,NA,"2","1","","","English","","auth,class"
75607,"ref","journal article","Ideas for a more natural system of the centric diatoms",1972,"R.","Simonsen","","","","",NA,"Beihefte Zur Nova Hedwigia",NA,NA,NA,NA,NA,NA,"39","","31","54","English","","class"
85042,"ref","journal article","Vulcanella hannae Sims & Mahood, Gen. et sp. Nov., with a discussion of the general Tumulopsis Hendey, Acanthodiscus Pantocsek, Poretzkia Jousé and Goniothecium Ehrenberg",1998,"P. A.","Sims","A. D.","Mahoood","","",NA,"Diatom Research",NA,NA,NA,NA,NA,NA,"13","1","113","131","English","10.1080/0269249X.1998.9705438","auth,class"
76414,"ref","journal article","Biostratigraphy of Cretaceous calcareous nannoplankton",1977,"W.","Sissingh","","","","",NA,"Geol en Minjbouw",NA,NA,NA,NA,NA,NA,"56","1","37","65","English","","auth"
72374,"ref","journal article","Jurassic plants from the Tabbowa Series in Ceylon",1944,"R. V.","Sitholey","","","","",NA,"Spolia Zeylanica",NA,NA,NA,NA,NA,NA,"24","","3","17","English","","auth,class"
83415,"ref","journal article","Aulacoseira giraffensis (Bacillariophyceae), a new diatom species forming massive populations in an Eocene lake",2019,"P. A.","Siver","A. P.","Wolfe","M. B. Edlund, J. Sibley, J. Hausman, P. Torres, A. M. Lott","",NA,"Plant Ecology and Evolution",NA,NA,NA,NA,NA,NA,"152","2","358","367","English","10.5091/plecevo.2019.1586","auth,class"
41766,"ref","serial monograph","Permian foraminifera from Tunisia",1967,"J. W.","Skinner","G. L.","Wilde","","",NA,"University of Kansas Paleontological Contributions",NA,NA,NA,NA,NA,NA,"30","","1","22","English","","auth,class"
41889,"ref","journal article","Permian biostratigraphy and fusulinid faunas of the Shasta Lake area, northern California",1965,"J. W.","Skinner","G. L.","Wilde","","",NA,"University of Kansas Paleontological Contributions, Protozoa",NA,NA,NA,NA,NA,NA,"6","","1","98","English","","auth"
76051,"ref","book","Flora of the Southeastern United States",1903,"J. K.","Small","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","","","English","","auth"
17531,"ref","journal article","Palaeontology of the 1985 Geotraverse, Lhasa to Golmud",1988,"A. B.","Smith","J.","Xu","","",NA,"Philosophical Transactions of the Royal Society of London A",NA,NA,NA,NA,NA,NA,"327","","53","105","English","","auth"
75377,"ref","journal article","Conspectus of the families and genera of the Diatomaceae",1872,"H. L.","Smith","","","","",NA,"The Lens",NA,NA,NA,NA,NA,NA,"1","","Jan-19","","English","","class"
77780,"ref","journal article","Notes on the Diatomaceae, with descriptions of British Species included in the genera Campylodiscus, Surirella and Cymatopleura",1851,"W.","Smith","","","","",NA,"Annals and Magazine of Natural History",NA,NA,NA,NA,NA,NA,"2","7","1","14","English","","auth,class"
77865,"ref","book","Synopsis of British Diatomaceae",1856,"W.","Smith","","","","",NA,"",NA,NA,NA,NA,NA,NA,"2","","","","English","","auth,class"
55377,"ref","journal article","Early Pleistocene vegetation change in upland south-eastern Australia",2011,"J. M. K.","Sniderman","","","","",NA,"Journal of Biogeography",NA,NA,NA,NA,NA,NA,"38","8","1456","1470","English","10.1111/j.1365-2699.2011.02518.x","auth,class"
77933,"ref","journal article","On the calcareous algae (Melobesioideae) of Gebel Gharra (Cario-Suez road) with a local zonation and some possible correlations",1963,"F.J.","Souaya","","","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"37","6","1204","1216","English","","auth,class"
322,"ref","","Paleontology of the Eocene Bateque Formation, Baja California Sur, Mexico",1992,"R. L.","Squires","R. A.","Demetrion","","",NA,"Contributions in Science (Natural History Museum of Los Angeles County)",NA,NA,NA,NA,NA,NA,"434","","1","55","","","class"
82996,"ref","serial monograph","A Catalogue of Fossil Plants from India Part 4: Cenozoic (Tertiary) Megafossils",1991,"R.","Srivastava","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","1","45","English","","auth,class"
80660,"ref","journal article","More fossil woods from the Palaeogene of northern Kyushu, Japan",2001,"R.","Srivastava","M.","Suzuki","","",NA,"International Association of Wood Anatomists Journal",NA,NA,NA,NA,NA,NA,"22","1","85","105","English","10.1163/22941932-90000271","auth,class"
84749,"ref","serial monograph","A Catalogue of Fossil Plants from India Part 3A: Palaeozoic and Mesozoic Spores and Pollen",1991,"S. C.","Srivastava","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","1","182","English","","auth,class"
81274,"ref","journal article","Publications of the Field Museum of Natural History",1938,"P.C.","Standley","J.A.","Steyermark","","",NA,"Botanical Series",NA,NA,NA,NA,NA,NA,"17","5","","","English","","auth,class"
60169,"ref","journal article","Replacement Name for Tetradium Dana, 1846",2011,"H. M.","Steele-Petrovich","","","","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"85","4","802","803","English","10.1666/10-137.1","class"
45949,"ref","book","Versuch einer geognostischen botanischen Darstellung der Flora der Vorwelt",1823,"K.","Sternberg","","","","",NA,"",NA,NA,NA,NA,NA,NA,"1","3","1","39","other","","auth"
45950,"ref","book","Versuch einer geognostischen botanischen Darstellung der Flora der Vorwelt",1825,"K.","Sternberg","","","","",NA,"",NA,NA,NA,NA,NA,NA,"1","4","1","48","other","","auth"
42046,"ref","serial monograph","The Pennsylvanian-Early Permian Bird Spring carbonate shelf, southeastern California: fusulinid biostratigraphy, paleogeographic evolution, and tectonic implications",2007,"C. H.","Stevens","P.","Stone","","",NA,"Geological Society of America Special Paper",NA,NA,NA,NA,NA,NA,"429","","1","82","English","","auth,class"
86636,"ref","journal article","Cretaceous–Paleogene plant extinction and recovery in Patagonia",2020,"E.","Stiles","P.","Wilf","A. Iglesias, M. A. Gandolfo, N. R. Cuneo","",NA,"Paleobiology",NA,NA,NA,NA,NA,NA,"","","1","15","English","10.1017/pab.2020.45","auth,class"
74030,"ref","journal article","Fossil coralline algae from the Paleocene Montorfano Member type-section (Tabiago Formation, northern Italy)",2000,"R.","Stockar","","","","",NA,"Eclogae Geologicae Helvetiae",NA,NA,NA,NA,NA,NA,"93","","409","427","English","http://doi.org/10.5169/seals-168831","auth,class"
43904,"ref","journal article","Cretaceous Ephedroid Pollen from West Africa",1964,"L. E.","Stover","","","","",NA,"Micropaleontolgy",NA,NA,NA,NA,NA,NA,"10","2","145","156","English","10.2307/1484637","auth"
56580,"ref","journal article","Taurocusporites, a new trilete spore genus from the Lower Cretaceous of Maryland",1962,"L. E.","Stover","","","","",NA,"Micropaleontology",NA,NA,NA,NA,NA,NA,"8","1","55","59","English","","auth,class"
73463,"ref","journal article","Über neue und wenig bekannte Nannofossilien aus Kreide und Alttertiär",1962,"H.","Stradner","","","","",NA,"Verhandlungen der Geologischen Bundesanstalt (Wien)",NA,NA,NA,NA,NA,NA,"2","","363","377","German","","auth,class"
44223,"ref","journal article","Red algae from the Pinczow limestones (middle Miocene, Swietokrzyskie mountains, Poland)",1988,"W.","Studencki","","","","",NA,"Acta Palaeontologica Polonica",NA,NA,NA,NA,NA,NA,"33","1","3","57","English","","auth,class"
80369,"ref","journal article","Fossil fruits of Ailanthus confucii from the Upper Miocene of Wenshan, Yunnan Province, southwestern China",2013,"T.","Su","F. M. B.","Jacques","H.-J. Ma, Z.-K. Zhou","",NA,"Palaeoworld",NA,NA,NA,NA,NA,NA,"22","03-Apr","153","158","English","10.1016/j.palwor.2013.07.002","class"
78535,"ref","journal article","Systematic Palaeontology, in No high Tibetan Plateau until the Neogene",2019,"T.","Su","Z. K.","Zhou","","",NA,"Science Advances",NA,NA,NA,NA,NA,NA,"5","","eaav2189","","English","10.1126/sciadv.aav2189","auth,class"
80570,"ref","journal article","Systematic descriptions, in Miocene leaves of Elaeagnus (Elaeagnaceae) from the Qinghai-Tibet Plateau, its modern center of diversity and endemism",2014,"T.","Su","Z. K.","Zhou","","",NA,"American Journal of Botany",NA,NA,NA,NA,NA,NA,"101","8","1350","1361","English","10.3732/ajb.1400229","auth,class"
80785,"ref","journal article","Systematic descriptions, in A Miocene leaf fossil record of Rosa (R. fortuita n. sp.) from its modern diversity center in SW China",2016,"T.","Su","Z. K.","Zhou","","",NA,"Palaeoworld",NA,NA,NA,NA,NA,NA,"25","1","104","115","English","10.1016/j.palwor.2015.05.010","auth,class"
80786,"ref","journal article","Systematic descriptions, in A new Drynaria (Polypodiaceae) from the Upper Pliocene of Southwest China",2011,"T.","Su","Z. K.","Zhou","Y. S. Liu","",NA,"Review of Palaeobotany and Palynology",NA,NA,NA,NA,NA,NA,"164","01-Feb","132","142","English","10.1016/j.revpalbo.2010.11.011","auth,class"
62136,"ref","serial monograph","Foraminifera from the type section of the San Lorenzo Formation, Santa Cruz County, California",1962,"F. R.","Sullivan","","","","",NA,"University of California Publications in Geological Sciences",NA,NA,NA,NA,NA,NA,"37","4","233","352","English","","auth,class"
28391,"ref","journal article","A new species of Eupodiscus closely related to the generitype E. radiatus (Bacillariophyceae)",1988,"M. J.","Sullivan","V.","Porguen","","",NA,"10th Diatom Symposium",NA,NA,NA,NA,NA,NA,"","","117","126","English","","auth"
10683,"ref","journal article","Partha a new type of female fructification from the Lower Gondwana of India.",1973,"K. R.","Surange","S.","Chandra","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"20","","356","360","","","auth,class"
80657,"ref","journal article","Some fossil woods from the Palaeogene of Northern Kyushu",1976,"M.","Suzuki","","","","",NA,"The Botanical Magazine",NA,NA,NA,NA,NA,NA,"89","","59","71","English","10.1007/BF02489534","auth,class"
80658,"ref","journal article","Some fossil woods from the Palaeogene of Northern Kyushu, II",1982,"M.","Suzuki","","","","",NA,"The Botanical Magazine",NA,NA,NA,NA,NA,NA,"95","","281","294","English","10.1007/BF02488539","auth,class"
80659,"ref","journal article","Some fossil woods from the Palaeogene of northern Kyushu, III",1984,"M.","Suzuki","","","","",NA,"The Botanical Magazine",NA,NA,NA,NA,NA,NA,"97","","457","468","English","10.1007/BF02489578","auth,class"
8957,"ref","journal article","Vegetative remains of Azolla schopfii Dijkstra from Genesee, Alberta",1973,"A.R.","Sweet","A.","Chandrasekharam","","",NA,"Canadian Journal of Botany",NA,NA,NA,NA,NA,NA,"51","","1491","1496","","","auth,class"
80654,"ref","journal article","Two new fossil woods of Acer and a new combination of Prunus from the Tertiary of Japan",1988,"A.","Takahashi","M.","Suzuki","","",NA,"The Botanical Magazine",NA,NA,NA,NA,NA,NA,"101","","473","481","English","","auth,class"
50781,"ref","book chapter","Radiolarians",2014,"O.","Takahashi","Y.","Miyake","","Y. Shigeta, T. Komatsu, T. Maekawa, H. T. Dang",NA,"Olenekian (Early Triassic) stratigraphy and fossil assemblages in northeastern Vietnam. National Museum of Nature and Science Monographs",NA,NA,NA,NA,NA,NA,"45","","278","294","English","","class"
85018,"ref","journal article","A one-billion-year-old multicellular chlorophyte",2020,"Q.","Tang","K.","Pang","X. Yuan, S. Xiao","",NA,"Nature Ecology & Evolution",NA,NA,NA,NA,NA,NA,"4","","543-549","","English","10.1038/s41559-020-1122-9","auth,class"
52945,"ref","book","Paleobotany: The Biology and Evolution of Fossil Plants",2008,"E.","Taylor","T.","Taylor","M. Krings","",NA,"",NA,NA,NA,NA,NA,NA,"","","1","1230","English","","auth,class"
43480,"ref","book/book chapter","",2009,"T. N.","Taylor","E. L.","Taylor","M. Krings","",NA,"Paleobotany: The Biology and Evolution of Fossil Plants, 2nd edition",NA,NA,NA,NA,NA,NA,"","","","","English","","auth,class"
33721,"ref","journal article","Uppermost Permian fossils from the southern Kitakami Mountains, northeast Japan",1975,"J.","Tazawa","","","","",NA,"Journal of the Geological Society of Japan",NA,NA,NA,NA,NA,NA,"81","","629","640","English","","auth"
42261,"ref","serial monograph","Biostratigraphy and Systematics of late Middle to Late Triassic Radiolarians from the Taurus Mountains and Ankara Region, Turkey",1999,"U. K.","Tekin","","","","",NA,"Geologisch-Paläontologische Mitteilungen Innsbruck",NA,NA,NA,NA,NA,NA,"5","","1","296","English","","auth"
75244,"ref","book","Diatomées du Monde Entier, Edition 2, 30 fascicules. Fascicule 20-23",1912,"J.","Tempère","H.","Peragallo","","",NA,"",NA,NA,NA,NA,NA,NA,"","","305","352","French","","auth"
27426,"ref","journal article","Monographie du Permo-Carbonifère de Wardak (Afghanistan Central)",1974,"G.","Termier","H.","Termier","A.F. de Lapparent, P. Marin","",NA,"Documents des Laboratoires de Géologie de la Faculté des Sciences de Lyon, Hors Série",NA,NA,NA,NA,NA,NA,"2","","1","165","French","","auth,class"
76151,"ref","journal article","An update of the Angiosperm Phylogeny Group classification for the orders and families of flowering plants: APG IV",2016,"","The Angiosperm Phylogeny Group","","","","",NA,"Botanical Journal of the Linnean Society",NA,NA,NA,NA,NA,NA,"181","1","1","20","English","https://doi.org/10.1111/boj.12385","auth,class"
74419,"ref","journal article","Cyperacites richardsii (Cyperaceae), a New Fossil Plant from the Pliocene of Western Kansas",1976,"J. R.","Thomasson","","","","",NA,"American Midland Naturalist",NA,NA,NA,NA,NA,NA,"95","1","239","242","English","","class"
37423,"ref","serial monograph","Taxonomic names, in American Wolfcampian fusulinids",1954,"M. L.","Thompson","A. N.","Hansen","","",NA,"University of Kansas Paleontological Contributions, Protozoa",NA,NA,NA,NA,NA,NA,"5","","1","226","English","","auth,class"
75493,"ref","journal article","Further observations on the Diatomaceae with descriptions of new genera and species",1848,"G. H. K.","Thwaites","","","","",NA,"Annals and Magazine of Natural History, Series 2",NA,NA,NA,NA,NA,NA,"1","","161","172","English","","auth"
9348,"ref","book/book chapter","A sequence stratigraphic reference section for the Tithonian of Lebanon",2000,"C.","Toland","","","","",NA,"Middle East models of Jurassic/Cretaceous carbonate systems. SEPM, Special Publication",NA,NA,NA,NA,NA,NA,"69","","53","64","","","auth,class"
9171,"ref","journal article","Community succession in small bioherms of algae and sponges in the Lower Permian of New Mexico",1979,"D. F.","Toomey","J. M.","Cys","","",NA,"Lethaia",NA,NA,NA,NA,NA,NA,"12","","65","74","","","auth"
75906,"ref","book","Diatomovi vodorosti-Bacillariophyta (Diatomeae). Vyznachnyk prisnovodnykh vodorostey Ukrayinskoyi RSR. Vyp. 11 (Bacillariophyta. Manual of freshwater algae of Ukraine. Issue 11.)",1960,"O. V.","Topachevsky","O. P.","Oksiyuk","","",NA,"",NA,NA,NA,NA,NA,NA,"","","411","","Russian","","class"
76126,"ref","book","Cedrorum Libani historia",1757,"C. J.","Trew","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","","","other","","auth"
77826,"ref","M.S. thesis","Miocenski biolititi istočnog dijela Medvednice",2017,"K.","Tripalo","","","","",NA,"",NA,NA,NA,NA,NA,NA,"","","1","73","English","","auth,class"
49056,"ref","journal article","Paleoflora de la Formación Ligorio Márquez (XI Región, Chile) en su localidad tipo: sistemática, edad e implicancias paleoclimáticas",2002,"A.","Troncoso","M.","Suárez","R. de la Cruz, S. Palma-Heldt","",NA,"Revista Geológica de Chile",NA,NA,NA,NA,NA,NA,"29","1","113","135","English","10.4067/S0716-02082002000100007 ","auth,class"
73668,"ref","journal article","Observations sur le nouveau genre Surirella",1828,"P.J.F.","Turpin","","","","",NA,"Mémoires du Museum d'Histoire Naturelle. Paris",NA,NA,NA,NA,NA,NA,"16","","361","368","English","","auth"
86147,"ref","journal article","Microfósiles calcáreos no-marinos del Cretácico Superior en Zampal, provincia de Mendoza, Argentina",1978,"M. A.","Uliana","E. A.","Musacchio","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"15","01-Feb","111","135","Spanish","","class"
6444,"ref","serial monograph","The Megaflora from the Quantico Locality (Upper Albian), Lower Cretaceous Potomac Group of Virginia",1994,"G. R.","Upchurch","P. R.","Crane","A. N. Drinnan","",NA,"Virginia Museum of Natural History",NA,NA,NA,NA,NA,NA,"4","","1","57","","","auth,class"
6420,"ref","book/book chapter","Cenomanian Angiosperm Leaf Megafossils, Dakota Formation, Rose Creek Locality, Jefferson County, Southeastern Nebraska",1990,"G. R.","Upchurch","D. L.","Dilcher","","",NA,"U.S. Geological Survey Bulletin 1915",NA,NA,NA,NA,NA,NA,"","","","","","","class"
48171,"ref","journal article","Asociaciones palinológicas con Angiospermas en el Cretácico Superior de la Cuenca Neuquina, Argentina",2010,"P.","Vallati","","","","",NA,"Revista Brasileira de Paleontolgia",NA,NA,NA,NA,NA,NA,"13","2","143","158","English","10.4072/rbp.2010.2.07","auth"
87794,"ref","journal article","First report of a Maastrichtian palynoflora from the Golfo San Jorge Basin, central Patagonia, Argentina",2016,"P.","Vallati","G.","Casal","N. Foix, J. Allard, A. De Sosa Tomas, M. Calo","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"53","4","495","505","English","http://dx.doi.org/10.5710/AMGH.28.12.2015.2948","auth,class"
87801,"ref","journal article","Salviniales from the Late Cretaceous of the Golfo San Jorge Basin",2017,"P.","Vallati","A.","De Sosa Tomas","G. Casal, M. Calo","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"74","","45","55","English","https://doi.org/10.1016/j.cretres.2017.02.004","auth,class"
87814,"ref","journal article","A Maastrichtian terrestrial palaeoenvironment close to the K/Pg boundary in the Golfo San Jorge basin, Patagonia, Argentina",2020,"P.","Vallati","A.","De Sosa Tomas","G. Casal","",NA,"Journal of South American Earth Sciences",NA,NA,NA,NA,NA,NA,"97","102401","","","English","https://doi.org/10.1016/j.jsames.2019.102401","auth,class"
43665,"ref","journal article","The Paleocene pollen flora of Colombia",1966,"T.","Van der Hammen","C.","Garcia de Mutis","","",NA,"Leidse Geologische Mededelingen",NA,NA,NA,NA,NA,NA,"35","","105","114","English","","auth,class"
57722,"ref","journal article","A palynological investigation of some Upper Cretaceous sediments in Nigeria",1964,"P. M.","van Hoeken-Klinkenberg","","","","",NA,"Pollen et Spores",NA,NA,NA,NA,NA,NA,"6","1","209","231","English","","auth,class"
58028,"ref","journal article","Maastrichtian, Paleocene and Eocene pollen and spores from Nigeria",1966,"P. M. J.","van Hoeken-Klinkenberg","","","","",NA,"Lei. Geol. Med",NA,NA,NA,NA,NA,NA,"38","","37","48","English","","auth,class"
77658,"ref","journal article","Species of Large Arenaceous and Orbitoidal Foraminifera from the Tertiary Deposits of Jamaica",1928,"T. W.","Vaughan","","","","",NA," Journal of Paleontology",NA,NA,NA,NA,NA,NA,"1","4","","","English","","auth,class"
71587,"ref","journal article","A Late Triassic flora from east-central Axel Heiberg Island, Nunavut, Canada",2007,"M. J.","Vavrek","H. C. E.","Larsson","N. Rybczynski","",NA,"Canadian Journal of Earth Sciences",NA,NA,NA,NA,NA,NA,"44","","1653","1659","English","10.1139/E07-042","auth,class"
64271,"ref","journal article","Coccolithophoridae in Maastrichtian deposits of the Western Siberian Lowland.",1959,"V. N.","Vekshina","","","","",NA,"Tr. Sibirsk, Nauchn.- Issled. Geol. Geofiz. i Mineraln Syr'ya,",NA,NA,NA,NA,NA,NA,"2","","56","77","English","","auth"
77659,"ref","journal article","Some Foraminifera from the Upper Miocene and Pliocene of Wairarapa, New Zealand",1963,"P.","Vella","","","","",NA,"Transactions of the Royal Society of New Zealand (Geol)",NA,NA,NA,NA,NA,NA,"2","1","1","14","English","","class"
82458,"ref","journal article","Palynology of the Mesozoic sediments of Kutch-4. Spores and pollen from the Bhuj exposures near Bhuj, Gujarat district",1968,"B. S.","Venkatachala","","","","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"17","1","208","219","English","","auth,class"
82471,"ref","journal article","Palynology of the Mesozoic sediments of Kutch, W. India - 5. Spores and pollen from Katrol exposures near Bhuj, Kutch district, Gujarat state",1968,"B. S.","Venkatachala","R. K.","Kar","S. Raza","",NA,"The Palaeobotanist",NA,NA,NA,NA,NA,NA,"17","","184","207","English","","auth,class"
76071,"ref","book","Tableau du règne végétal, selon la méthode de Jussieu",1799,"É. P.","Ventenant","","","","",NA,"",NA,NA,NA,NA,NA,NA,"2","","","","French","https://doi.org/10.5962/bhl.title.144316","auth"
48265,"ref","Ph.D. thesis","Estudios anatómicos en paleofloras del Aptiano de Antártida y Patagonia, y su comparación",2010,"E. I.","Vera","","","","",NA,"Universidad de Buenos Aires. Facultad de Ciencias Exactas y Naturales",NA,NA,NA,NA,NA,NA,"","","294","","Spanish","","auth"
82640,"ref","journal article","New cyathealean tree fern, Yavanna chimaerica gen. et sp. nov., from the Early Cretaceous of Livingston Island, Antarctica",2013,"E. I.","Vera","","","","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"44","","214","222","English","http://dx.doi.org/10.1016/j.cretres.2013.04.011","auth,class"
85741,"ref","journal article","Paleobotany of the uppermost Cretaceous Chorrillo Formation, Santa Cruz Province, Argentina: insights in a freshwater floral community",2022,"E. I.","Vera","V. S.","Perez Loinaze","D. Moyano-Paz, M. D. Coronel, M. Manabe, T. Tsuihiji, F. E. Novas","",NA,"Cretaceous Research",NA,NA,NA,NA,NA,NA,"138","105296","1","23","English","10.1016/j.cretres.2022.105296","auth,class"
64272,"ref","Ph.D. thesis","Calcareous nannoplankton biostratigraphy of Middle and Upper Cretaceous deposits in Tunisia, southern Spain and France",1977,"J. W.","Verbeek","","","","",NA,"Utrecht University, Doctoral Dissertation",NA,NA,NA,NA,NA,NA,"","","","","English","","auth,class"
48399,"ref","journal article","Algunos adelantos de la microbioestratigrafía del Jurásico en la Argentina y comparación con otras regiones del Hemisferio Austral",1971,"W.","Volkheimer","","","","",NA,"Ameghiniana",NA,NA,NA,NA,NA,NA,"VIII","03-Apr","341","355","Spanish","","auth,class"
77681,"ref","journal article","Uspekhi mikropaleontologii v dele izucheniya vnutrennego stroeniya foraminifer [Progress in micropaleontology in the work of studying the inner structure of Foraminifera], in Trudy Pervogo Seminara po Mikrofaune",1960,"N. A.","Voloshinova","","","","",NA,"Leningrad: Vsesoyuznyy Neftyanoy Nauchno-issledovatel'skii Geologo-razvedochnyy Institut (VNIGRI)",NA,NA,NA,NA,NA,NA,"","","48","87","English","","auth"
22890,"ref","journal article","Zur Geologie von Sumatra",1904,"W.","Volz","","","","",NA,"Geologische and Palaeontologische Abhandlungen, Neue Folge",NA,NA,NA,NA,NA,NA,"6","","87","196","German","","auth"
83116,"ref","journal article","Pre-Cambrian fossiliferous formations",1899,"C. D.","Walcott","","","","",NA,"Bulletin of the Geological Society of America",NA,NA,NA,NA,NA,NA,"10","","199","244","English","","auth"
64866,"ref","journal article","Megascopic Algae 1300 Million Years Old from the Belt Supergroup, Montana: A Reinterpretation of Walcott's Helminthoidichnites",1976,"M. R.","Walter","J. H.","Oehler","D. Z. Oehler","",NA,"Journal of Paleontology",NA,NA,NA,NA,NA,NA,"50","5","872","881","English","","auth,class"
76898,"ref","journal article","The mid-Miocene Zhangpu biota reveals an outstandingly rich rainforest biome in East Asia",2021,"B.","Wang","G. L.","Shi","C. P. Xu, R. A. Spicer, V. Perrichot, A. R. Schmidt, K. Feldberg, J. Heinrichs, C. Chény, H. Pang, X. Y. Liu, T. P. Gao, Z. X. Wang, A. Ślipiński, M. M. Solórzano-Kraemer, S. W. Heads, M. J. Thomas, E. M. Sadowski, J. Szwedo, D. Azar, A. Nel, Y. Liu, J. C","",NA,"Science Advances",NA,NA,NA,NA,NA,NA,"7","eabg0625","","","English","10.1126/sciadv.abg0625","auth,class"
82957,"ref","journal article","The Sinian microfossils from Jinning, Yunnan, south west China",1983,"F. X.","Wang","X. Y.","Zhang","R. H. Guo","",NA,"Precambrian Research",NA,NA,NA,NA,NA,NA,"23","","133","175","English","10.1016/0301-9268(83)90033-5","auth,class"
