reference_no,publication_type,reftitle,pubyr,author1last,pubtitle,language,doi,aff1,aff2,aff3,aff4,aff5,aff6,aff7,aff8,aff9
77953,journal article,"Coralline algae from the Neill West Coast Formation (Pleistocene), Neil Island, South Andaman, India",2015,Kishore,Journal of the Palaeontological Society of India,English,,India,,,,,,,,
83278,journal article,Evolution of Eofusulininae and their role in Middle Carboniferous stratigraphy of the Urals,2015,Ivanova,Lithosphere,Russian,,Russia,,,,,,,,
55830,journal article,A higher level classification of all living organisms,2015,Ruggiero,PLoS One,English,10.1371/journal. pone.0119248,USA,New Zealand,Philippines,France,UK,Ireland,,,
67364,book,Type and reference sections of the Middle and Upper Permian of the Volga and Kama River Regions: A Field Guidebook of XVIII International Congress on Carboniferous and Permian,2015,Nurgaliev,,English,,Russia,,,,,,,,
78046,journal article,"New record of coralline algae from the Holocene sediments of Agatti Island, Lakshadweep, India",2016,Misra,Journal Geological Society of India,English,,India,,,,,,,,
69199,journal article,Surprisingly modern Latest Cretaceous - earliest Paleocene woods of India\r\n,2017,Wheeler,International Association of Wood Anatomists,English,10.1163/22941932-2017174,USA,India,The Netherlands,,,,,,
74174,journal article,A study of biostratigraphy of Sinjar Formation in selected sections from northern Iraq,2017,Al-Dulaimi,Iraqi Journal of Science,English,,Iraq,,,,,,,,
80805,journal article,"Pleistocene fossil leaflets of Albizia kalkora (Roxb.) Prain (Leguminosae subfamily Mimosoideae) from central Honshu, Japan, and its implications for historical biogeography",2017,Ito,Japanese Journal of Historical Botany,English,10.34596/hisbot.26.1_3,Japan,China, ,,,,,,
77915,journal article,"Coralline algae from the Hut Bay Formation (Middle Miocene), Little Andaman, India",2017,Kishore,Journal of the Palaeontological Society of India,English,,India,,,,,,,,
74642,journal article,Palaeocene reef complex of the Western Carpathians,2017,Bucek,Slovak Geological Magazine,English,,Slovakia,,,,,,,,
77930,journal article,Ecology of Coralline Red Algae and Their Fossil Evidences from India,2017,Sarkar,Thalassas,English,,India,,,,,,,,
42215,unpublished,"Benthic foraminifers of saint Félix (le Gosier, Guadeloupe)",2012,Margerel,,English,,,,,,,,,,
80622,journal article,"Middle Miocene flora from Siwalik foreland basin of Uttarakhand, India and its phytogeographic and palaeoclimatic implications",2017,Prasad,The Palaeobotanist,English,,India,,,,,,,,
77826,M.S. thesis,Miocenski biolititi istočnog dijela Medvednice,2017,Tripalo,,English,,Croatia,,,,,,,,
34827,unpublished,Unpublished taxonomic opinions,2011,Jud,,English,,,,,,,,,,
30388,unpublished,Taxonomic vetting of messy data in the Paleobiology Database,2009,Kiessling,,English,,,,,,,,,,
65994,journal article,"Revised conodont and fusuline biostratigraphy of the Bamchi Formation (Pyongan Supergroup) at the Bamchi section, Yeongwol and the Carboniferous-Permian boundary in South Korea",2018,Wang,Alcheringa,English,,China,South Korea,,,,,,,
80950,journal article,"Leaf impressions of Terminalia (Combretaceae) and Daphnogene (Lauraceae) from the Middle Siwalik of the Chatara-Barahakshetra area, eastern Nepal",2018,Adhikari,"Bulletin of the Department of Geology, Tribhuvan University",English,10.3126/bdg.v20i0.20719,Nepal,India,Germany,,,,,,
80619,journal article,Fossil Leaf Impressions from Siwalik Bed of Bhutan,2018,Srivastava,Iconic Research and Engineering Journals,English,,India,,,,,,,,
66908,journal article,"The temnospondyl Parotosuchus nasutus (v. Meyer, 1858) from the Early Triassic Middle Buntsandstein of Germany",2018,Schoch,Palaeodiversity,English,10.18476/pale.11.a6,Germany,,,,,,,,
18334,unpublished,Compendium of calcimicrobes,2006,Kiessling,,English,,,,,,,,,,
12820,unpublished,Unpublished radiolarian data and taxonomic expertise,2005,Kiessling,,German,,,,,,,,,,
9940,unpublished,Ecology opinions,2004,Kiessling,,,,,,,,,,,,
9159,unpublished,Personal data,2003,Kiessling,,English,,,,,,,,,,
80621,journal article,Leaf impressions of Calophyllum siwalicus and Kayea miofloribunda (Clusiaceae) from the Siwalik Bed of Bhutan,2019,Srivastava,Iconic Research and Engineering Journals,English,,India,,,,,,,,
80620,journal article,Leaf impressions of Michelia Butanensis (Magnoliaceae) and Gyocardia Mio-Odorata(Flacourtiaceae) from the Siwalik Bed of Bhutan,2019,Srivastava,Iconic Research and Engineering Journals,English,,India,,,,,,,,
68533,journal article,"Lower Oligocene coralline algae of the Uromieh section (Qom Formation, NW Iran) and the oldest record of Titanoderma pustulatum (Corallinophycidae, Rhodophyta)",2019,Basso,Rivista Italiana di Paleontologia e Stratigrafia,English,,Italy,Iran,,,,,,,
78267,journal article,"Chamberlainium pentagonum (Conti) comb. nov. and Spongites fruticulosus (Corallinales, Rhodophyta) in the Miocene carbonates of the western Mediterranean",2020,Coletti,Carents Geol,English,,Italy,Slovakia,,,,,,,
85198,journal article,Leroyi: A new Tethyan lagenid benthic foraminiferal genus,2020,Anan,Earth Sciences Pakistan,English,10.26480/esp.02.2020.60.64,Palestine,,,,,,,,
72895,journal article,"Late Neogene and Quaternary diversity and taxonomy of subtropical to temperate planktic foraminifera across the Kuroshio Current Extension, northwest Pacific Ocean",2020,Lam,Micropalaeontology,English,10.47894/mpal.66.3.01,USA,,,,,,,,
75505,journal article,"Taxonomic names, in The Khasurty fossil insect Lagerstätte",2020,Mamontov,Paleontological Journal,English,,Russia,UK,Poland,Denmark,,,,,
88435,journal article,"Palynoflora from the La Anita Formation (Maastrichtian), Austral-Magallanes Basin, Argentina",2020,Santamarina,Revista del Museo Argentino de Ciencias Naturales,English,http://dx.doi.org/10.22179/REVMACN.22.664,Argentina,,,,,,,,
81956,journal article,"Codium-like taxa from the Silurian of North America: morphology, taxonomy, paleoecology, and phylogenetic affinity",2021,LoDuca,Journal of Paleontology,English,,USA,Canada,,,,,,,
85994,M.S. thesis,"Foraminíferos paleocenos del pozo YPF-CH-LCOL-ES-1 (Las Coloradas), Cuenca de Cañadón Asfalto: sistemática y aspectos paleoecológicos",2022,Missotti,,Spanish,,Argentina,,,,,,,,
